id,title,genre,duration,roomNumber,showTime
1,The Last Horizon,Action,155,19,12:00
2,Silent Night,Adventure,120,44,18:45
3,Quantum Leap,Action,130,17,14:30
4,Shadow Realm,Romance,159,16,10:15
5,Golden Age,Thriller,133,29,17:15
6,Mystery Lane,Comedy,97,31,17:30
7,Final Countdown,Romance,138,23,14:15
8,Eternal Flame,Horror,163,15,19:15
9,Dark Matter,Romance,175,29,12:00
10,Neon City,Sci-Fi,174,36,11:30
11,Lost Empire,Horror,115,36,13:15
12,Crimson Tide,Thriller,98,7,13:00
13,Frozen Echo,Thriller,109,34,14:15
14,Iron Will,Comedy,113,15,11:45
15,Starlight Journey,Sci-Fi,106,50,12:00
16,Broken Dreams,Horror,117,16,13:15
17,Midnight Chase,Drama,122,2,15:45
18,Solar Storm,Thriller,180,44,21:00
19,Hidden Truth,Comedy,131,42,11:00
20,Fallen Kingdom,Horror,131,17,14:15
21,Twilight Saga,Thriller,126,30,18:45
22,Secret Mission,Comedy,144,34,17:00
23,Blackout,Thriller,82,31,21:30
24,Endless Night,Sci-Fi,115,29,15:45
25,Cyber War,Romance,166,45,20:30
26,Dragon's Heart,Comedy,163,8,10:45
27,Silver Lining,Adventure,106,33,21:00
28,The Awakening,Sci-Fi,105,30,17:45
29,Phantom Path,Romance,150,8,21:15
30,Crystal Skies,Action,163,20,22:00
31,Burning Horizon,Drama,117,5,10:00
32,Quantum Rift,Thriller,130,35,14:45
33,Last Stand,Drama,149,36,21:30
34,Silent Whisper,Adventure,95,20,10:00
35,Golden Blade,Thriller,161,41,10:00
36,Dark Horizon,Sci-Fi,92,18,12:30
37,Neon Shadows,Adventure,106,6,12:45
38,Frozen Dawn,Romance,130,31,11:15
39,Iron Fortress,Drama,149,7,18:30
40,Starlight Realm,Romance,120,36,10:15
41,Broken Path,Comedy,173,30,10:00
42,Midnight Sun,Romance,155,18,12:45
43,Solar Eclipse,Sci-Fi,86,13,12:30
44,Hidden Legacy,Action,140,48,21:15
45,Fallen Stars,Sci-Fi,97,49,22:45
46,Twilight Hour,Action,155,9,19:15
47,Secret Realm,Sci-Fi,99,45,11:15
48,Black Horizon,Thriller,93,22,14:30
49,Endless Journey,Horror,165,44,18:00
50,Cyber Pulse,Drama,124,41,19:15
